,model,lineupNum,team,player_name,concatNameTeam
246,A_pydfs_1.00_Exp,31,CHI,Bobby Portis,Bobby PortisCHI
247,A_pydfs_1.00_Exp,31,SAC,Iman Shumpert,Iman ShumpertSAC
248,A_pydfs_1.00_Exp,32,NOP,Jrue Holiday,Jrue HolidayNOP
249,A_pydfs_1.00_Exp,32,CHI,Zach LaVine,Zach LaVineCHI
250,A_pydfs_1.00_Exp,32,DEN,Will Barton,Will BartonDEN
251,A_pydfs_1.00_Exp,32,NOP,Anthony Davis,Anthony DavisNOP
252,A_pydfs_1.00_Exp,32,NOP,Nikola Mirotic,Nikola MiroticNOP
253,A_pydfs_1.00_Exp,32,ORL,Evan Fournier,Evan FournierORL
254,A_pydfs_1.00_Exp,32,DEN,Juancho Hernangomez,Juancho HernangomezDEN
255,A_pydfs_1.00_Exp,32,OKC,Dennis Schroder,Dennis SchroderOKC
256,A_pydfs_1.00_Exp,33,CHI,Zach LaVine,Zach LaVineCHI
257,A_pydfs_1.00_Exp,33,DEN,Will Barton,Will BartonDEN
258,A_pydfs_1.00_Exp,33,OKC,Paul George,Paul GeorgeOKC
259,A_pydfs_1.00_Exp,33,NOP,Anthony Davis,Anthony DavisNOP
260,A_pydfs_1.00_Exp,33,SAS,Pau Gasol,Pau GasolSAS
261,A_pydfs_1.00_Exp,33,OKC,Dennis Schroder,Dennis SchroderOKC
262,A_pydfs_1.00_Exp,33,NOP,Nikola Mirotic,Nikola MiroticNOP
263,A_pydfs_1.00_Exp,33,BOS,Terry Rozier,Terry RozierBOS
264,A_pydfs_1.00_Exp,34,NOP,Jrue Holiday,Jrue HolidayNOP
265,A_pydfs_1.00_Exp,34,CHI,Zach LaVine,Zach LaVineCHI
266,A_pydfs_1.00_Exp,34,DEN,Will Barton,Will BartonDEN
267,A_pydfs_1.00_Exp,34,NOP,Anthony Davis,Anthony DavisNOP
268,A_pydfs_1.00_Exp,34,NOP,Nikola Mirotic,Nikola MiroticNOP
269,A_pydfs_1.00_Exp,34,OKC,Dennis Schroder,Dennis SchroderOKC
270,A_pydfs_1.00_Exp,34,CHI,Bobby Portis,Bobby PortisCHI
271,A_pydfs_1.00_Exp,34,DEN,Juancho Hernangomez,Juancho HernangomezDEN
272,A_pydfs_1.00_Exp,35,CHI,Ryan Arcidiacono,Ryan ArcidiaconoCHI
273,A_pydfs_1.00_Exp,35,CHI,Zach LaVine,Zach LaVineCHI
274,A_pydfs_1.00_Exp,35,DEN,Will Barton,Will BartonDEN
275,A_pydfs_1.00_Exp,35,NOP,Anthony Davis,Anthony DavisNOP
276,A_pydfs_1.00_Exp,35,ORL,Nikola Vucevic,Nikola VucevicORL
277,A_pydfs_1.00_Exp,35,ORL,Evan Fournier,Evan FournierORL
278,A_pydfs_1.00_Exp,35,NOP,Nikola Mirotic,Nikola MiroticNOP
279,A_pydfs_1.00_Exp,35,OKC,Dennis Schroder,Dennis SchroderOKC
280,A_pydfs_1.00_Exp,36,DEN,Monte Morris,Monte MorrisDEN
281,A_pydfs_1.00_Exp,36,NOP,Jrue Holiday,Jrue HolidayNOP
282,A_pydfs_1.00_Exp,36,DEN,Will Barton,Will BartonDEN
283,A_pydfs_1.00_Exp,36,NOP,Anthony Davis,Anthony DavisNOP
284,A_pydfs_1.00_Exp,36,NOP,Nikola Mirotic,Nikola MiroticNOP
285,A_pydfs_1.00_Exp,36,CHI,Zach LaVine,Zach LaVineCHI
286,A_pydfs_1.00_Exp,36,MIN,Taj Gibson,Taj GibsonMIN
287,A_pydfs_1.00_Exp,36,OKC,Dennis Schroder,Dennis SchroderOKC
288,A_pydfs_1.00_Exp,37,CHI,Ryan Arcidiacono,Ryan ArcidiaconoCHI
289,A_pydfs_1.00_Exp,37,CHI,Zach LaVine,Zach LaVineCHI
290,A_pydfs_1.00_Exp,37,DEN,Will Barton,Will BartonDEN
291,A_pydfs_1.00_Exp,37,NOP,Anthony Davis,Anthony DavisNOP
292,A_pydfs_1.00_Exp,37,ORL,Nikola Vucevic,Nikola VucevicORL
293,A_pydfs_1.00_Exp,37,OKC,Dennis Schroder,Dennis SchroderOKC
294,A_pydfs_1.00_Exp,37,NOP,Nikola Mirotic,Nikola MiroticNOP
295,A_pydfs_1.00_Exp,37,CHI,Bobby Portis,Bobby PortisCHI
296,A_pydfs_1.00_Exp,38,NOP,Jrue Holiday,Jrue HolidayNOP
297,A_pydfs_1.00_Exp,38,CHI,Zach LaVine,Zach LaVineCHI
298,A_pydfs_1.00_Exp,38,DEN,Will Barton,Will BartonDEN
299,A_pydfs_1.00_Exp,38,NOP,Anthony Davis,Anthony DavisNOP
300,A_pydfs_1.00_Exp,38,NOP,Nikola Mirotic,Nikola MiroticNOP
301,A_pydfs_1.00_Exp,38,OKC,Dennis Schroder,Dennis SchroderOKC
302,A_pydfs_1.00_Exp,38,UTA,Derrick Favors,Derrick FavorsUTA
303,A_pydfs_1.00_Exp,38,SAC,Iman Shumpert,Iman ShumpertSAC
304,A_pydfs_1.00_Exp,39,NOP,Jrue Holiday,Jrue HolidayNOP
305,A_pydfs_1.00_Exp,39,CHI,Zach LaVine,Zach LaVineCHI
306,A_pydfs_1.00_Exp,39,DEN,Will Barton,Will BartonDEN
307,A_pydfs_1.00_Exp,39,NOP,Anthony Davis,Anthony DavisNOP
308,A_pydfs_1.00_Exp,39,NOP,Nikola Mirotic,Nikola MiroticNOP
309,A_pydfs_1.00_Exp,39,OKC,Dennis Schroder,Dennis SchroderOKC
310,A_pydfs_1.00_Exp,39,MIN,Taj Gibson,Taj GibsonMIN
311,A_pydfs_1.00_Exp,39,NOP,E'Twaun Moore,E'Twaun MooreNOP
312,A_pydfs_1.00_Exp,40,CHI,Ryan Arcidiacono,Ryan ArcidiaconoCHI
313,A_pydfs_1.00_Exp,40,NOP,Jrue Holiday,Jrue HolidayNOP
314,A_pydfs_1.00_Exp,40,BOS,Jayson Tatum,Jayson TatumBOS
315,A_pydfs_1.00_Exp,40,NOP,Anthony Davis,Anthony DavisNOP
316,A_pydfs_1.00_Exp,40,NOP,Nikola Mirotic,Nikola MiroticNOP
317,A_pydfs_1.00_Exp,40,CHI,Zach LaVine,Zach LaVineCHI
318,A_pydfs_1.00_Exp,40,DEN,Will Barton,Will BartonDEN
319,A_pydfs_1.00_Exp,40,CHI,Bobby Portis,Bobby PortisCHI
320,A_pydfs_1.00_Exp,41,NOP,Jrue Holiday,Jrue HolidayNOP
321,A_pydfs_1.00_Exp,41,CHI,Zach LaVine,Zach LaVineCHI
322,A_pydfs_1.00_Exp,41,DEN,Will Barton,Will BartonDEN
323,A_pydfs_1.00_Exp,41,CHI,Lauri Markkanen,Lauri MarkkanenCHI
324,A_pydfs_1.00_Exp,41,SAS,Pau Gasol,Pau GasolSAS
325,A_pydfs_1.00_Exp,41,OKC,Dennis Schroder,Dennis SchroderOKC
